"Country or Area Code","Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"202","Ukraine","Rural Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","7430828","2"
"202","Ukraine","Rural Male","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","7470772","2"
"198","Union of Soviet Socialist Republics (former)","Rural Female","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","51263749",""
"198","Union of Soviet Socialist Republics (former)","Rural Female","1988","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","51370698",""
"198","Union of Soviet Socialist Republics (former)","Rural Male","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","46732012",""
"198","Union of Soviet Socialist Republics (former)","Rural Male","1988","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","46609736",""
"168","United Kingdom","Rural Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","5971504",""
"168","United Kingdom","Rural Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","2870132",""
"168","United Kingdom","Rural Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","5810263",""
"168","United Kingdom","Rural Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","2827984",""
"77","United Republic of Tanzania: Tanganyika","Rural Female","1988","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","9549414",""
"77","United Republic of Tanzania: Tanganyika","Rural Male","1988","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","8892527",""
"258","United States of America","Rural Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","29383601","76"
"258","United States of America","Rural Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","30803082","76"
"258","United States of America","Rural Male","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","29677766","76"
"258","United States of America","Rural Male","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","30853304","76"
"247","Uruguay","Rural Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","116118",""
"247","Uruguay","Rural Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","94099","77"
"247","Uruguay","Rural Female","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","96612","77"
"247","Uruguay","Rural Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","99057","77"
"247","Uruguay","Rural Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","101444","77"
"247","Uruguay","Rural Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","103738","77"
"247","Uruguay","Rural Female","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","105969","77"
"247","Uruguay","Rural Female","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","108171","77"
"247","Uruguay","Rural Female","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","110243","77"
